customer_id,signup_date,home_store,annual_visits,online_ratio,ltv_estimate,dataset
316,2021-01-28,YYC-NW,18,0.43,121.1,bookstore_customers
317,2021-09-24,YYC-NW,14,0.25,240.21,bookstore_customers
318,2024-03-17,YYC-DT,13,0.07,164.46,bookstore_customers
319,2023-02-09,YYC-NW,10,0.16,110.47,bookstore_customers
320,2024-12-27,YYC-SE,2,0.46,178.54,bookstore_customers
321,2024-09-19,YYC-NW,3,0.22,373.11,bookstore_customers
322,2019-06-14,YYC-NW,0,0.33,113.5,bookstore_customers
323,2020-01-27,YYC-DT,3,0.43,169.66,bookstore_customers
324,2020-01-26,YYC-NW,9,0.13,317.12,bookstore_customers
325,2021-10-24,YYC-NW,5,0.51,80.8,bookstore_customers
326,2021-08-24,YYC-DT,11,0.25,181.33,bookstore_customers
327,2022-11-10,YYC-DT,7,0.33,172.68,bookstore_customers
328,2024-04-21,YYC-DT,3,0.19,117.39,bookstore_customers
329,2021-02-07,YYC-DT,16,0.32,219.39,bookstore_customers
330,2023-10-01,YYC-DT,2,0.38,136.95,bookstore_customers
331,2020-03-23,YYC-NW,14,0.1,283.33,bookstore_customers
332,2023-03-23,YYC-NW,0,0.15,297.72,bookstore_customers
333,2022-08-20,YYC-SE,0,0.34,59.68,bookstore_customers
334,2020-02-29,YYC-DT,12,0.42,171.46,bookstore_customers
335,2024-09-29,YYC-DT,12,0.1,213.12,bookstore_customers
336,2023-10-22,YYC-SE,6,0.23,127.68,bookstore_customers
337,2024-12-17,YYC-DT,12,0.07,105.18,bookstore_customers
338,2020-11-12,YYC-DT,1,0.37,140.45,bookstore_customers
339,2021-01-05,YYC-NW,6,0.43,235.24,bookstore_customers
340,2024-09-09,YYC-SE,9,0.12,185.6,bookstore_customers
341,2020-12-13,YYC-DT,10,0.36,224.62,bookstore_customers
342,2020-11-28,YYC-DT,6,0.31,54.23,bookstore_customers
343,2021-01-17,YYC-SE,8,0.56,136.13,bookstore_customers
344,2021-03-09,YYC-DT,4,0.24,101.43,bookstore_customers
345,2022-06-15,YYC-DT,15,0.2,120.45,bookstore_customers
346,2020-02-24,YYC-DT,5,0.09,196.43,bookstore_customers
347,2023-01-27,YYC-NW,10,0.16,56.06,bookstore_customers
348,2021-11-06,YYC-DT,18,0.63,157.81,bookstore_customers
349,2021-11-15,YYC-NW,7,0.46,144.78,bookstore_customers
350,2019-01-08,YYC-SE,11,0.19,48.14,bookstore_customers
351,2023-05-21,YYC-DT,8,0.08,210.32,bookstore_customers
352,2020-05-03,YYC-NW,9,0.25,365.68,bookstore_customers
353,2020-10-05,YYC-SE,10,0.33,91.66,bookstore_customers
354,2023-09-06,YYC-DT,16,0.6,137.22,bookstore_customers
355,2019-02-10,YYC-SE,11,0.37,354.68,bookstore_customers
356,2019-08-06,YYC-NW,4,0.3,140.65,bookstore_customers
357,2024-07-05,YYC-DT,14,0.35,121.03,bookstore_customers
358,2022-01-27,YYC-DT,11,0.36,59.02,bookstore_customers
359,2021-05-21,YYC-DT,8,0.29,62.43,bookstore_customers
360,2019-09-19,YYC-DT,10,0.31,98.62,bookstore_customers
361,2022-04-16,YYC-SE,3,0.61,42.61,bookstore_customers
362,2024-07-10,YYC-DT,5,0.1,171.9,bookstore_customers
363,2024-10-28,YYC-SE,10,0.13,281.23,bookstore_customers
364,2023-06-05,YYC-DT,4,0.21,383.11,bookstore_customers
365,2024-06-24,YYC-DT,17,0.37,27.75,bookstore_customers
366,2021-12-15,YYC-DT,11,0.03,117.69,bookstore_customers
367,2019-12-04,YYC-DT,13,0.06,241.23,bookstore_customers
368,2024-01-31,YYC-NW,12,0.59,160.79,bookstore_customers
369,2021-11-03,YYC-NW,18,0.31,95.54,bookstore_customers
370,2020-08-27,YYC-NW,3,0.41,457.25,bookstore_customers
371,2023-02-09,YYC-DT,0,0.12,167.41,bookstore_customers
372,2021-12-05,YYC-NW,3,0.08,79.2,bookstore_customers
373,2019-04-16,YYC-NW,5,0.08,166.14,bookstore_customers
374,2023-01-05,YYC-DT,6,0.12,143.04,bookstore_customers
375,2019-09-17,YYC-SE,9,0.32,97.1,bookstore_customers
376,2020-11-10,YYC-DT,15,0.14,81.62,bookstore_customers
377,2023-09-28,YYC-NW,18,0.18,164.56,bookstore_customers
378,2022-09-06,YYC-NW,5,0.29,37.96,bookstore_customers
379,2023-01-27,YYC-NW,0,0.17,33.37,bookstore_customers
380,2021-09-20,YYC-SE,2,0.29,137.55,bookstore_customers
381,2020-06-12,YYC-DT,12,0.38,137.75,bookstore_customers
382,2020-09-14,YYC-DT,9,0.35,238.98,bookstore_customers
383,2022-01-01,YYC-DT,13,0.11,40.45,bookstore_customers
384,2024-09-02,YYC-NW,2,0.32,130.21,bookstore_customers
385,2019-04-13,YYC-DT,8,0.31,113.34,bookstore_customers
386,2023-05-19,YYC-NW,10,0.37,78.59,bookstore_customers
387,2019-10-19,YYC-DT,14,0.2,75.19,bookstore_customers
388,2021-09-05,YYC-NW,3,0.26,336.34,bookstore_customers
389,2024-12-14,YYC-DT,13,0.42,19.75,bookstore_customers
390,2019-06-27,YYC-SE,1,0.14,176.52,bookstore_customers
391,2021-08-04,YYC-DT,9,0.04,139.66,bookstore_customers
392,2023-01-11,YYC-DT,12,0.14,174.04,bookstore_customers
393,2020-07-18,YYC-DT,10,0.16,89.18,bookstore_customers
394,2022-03-07,YYC-DT,8,0.2,235.08,bookstore_customers
395,2022-10-25,YYC-SE,3,0.16,77.34,bookstore_customers
396,2024-03-29,YYC-NW,11,0.34,112.8,bookstore_customers
397,2022-12-13,YYC-NW,1,0.25,103.02,bookstore_customers
398,2019-12-20,YYC-DT,6,0.52,198.8,bookstore_customers
399,2020-05-19,YYC-SE,15,0.65,76.6,bookstore_customers
400,2022-08-01,YYC-NW,11,0.35,135.73,bookstore_customers
401,2020-08-07,YYC-SE,12,0.31,291.79,bookstore_customers
402,2021-06-08,YYC-SE,3,0.33,38.26,bookstore_customers
403,2023-12-25,YYC-DT,10,0.15,524.22,bookstore_customers
404,2020-11-29,YYC-DT,5,0.21,52.03,bookstore_customers
405,2020-09-30,YYC-SE,9,0.2,45.57,bookstore_customers
406,2020-10-05,YYC-DT,14,0.27,89.46,bookstore_customers
407,2021-08-21,YYC-DT,11,0.33,58.03,bookstore_customers
408,2020-05-25,YYC-DT,14,0.49,81.04,bookstore_customers
409,2022-11-14,YYC-NW,3,0.1,104.29,bookstore_customers
