,customer_id,signup_date,home_store,annual_visits,online_ratio,ltv_estimate,first_purchase_date,last_purchase_date,region,loyalty_member,total_purchases,total_spent,avg_purchase_value,visits_2023,has_escalation,escalation_reason,customer_rating,visit_category,recency_days,lifetime_days
43,44,2022-01-07,YYC-DT,12,0.51,240.19,2022-01-07,2023-03-23,Calgary Downtown,False,31,1961.37,63.27,7,False,No Description,3.81,Sering,649,440
44,45,2022-05-15,ONLINE,4,0.57,117.91,2022-05-15,2023-07-15,Online,False,8,448.81,56.1,4,False,No Description,3.27,Jarang,535,426
45,46,2022-10-12,YYC-SE,15,0.38,235.32,2022-10-12,2023-03-11,Calgary SE,False,29,2570.48,88.64,12,False,No Description,4.2,Sering,661,150
46,47,2024-12-11,YYC-NW,15,0.42,191.18,2024-12-11,2024-09-21,Calgary NW,True,3,153.73,51.24,12,False,No Description,4.36,Sering,101,-81
47,48,2023-11-20,YYC-SE,10,0.39,47.14,2023-11-20,2024-06-06,Calgary SE,True,9,585.53,65.06,6,False,No Description,4.35,Jarang,208,199
48,49,2019-01-02,YYC-NW,14,0.15,324.86,2019-01-02,2023-03-14,Calgary NW,False,74,5551.01,75.01,14,False,No Description,4.41,Sering,658,1532
49,50,2023-01-30,YYC-SE,16,0.15,161.83,2023-01-30,2023-08-25,Calgary SE,True,22,1959.11,89.05,12,False,No Description,4.2,Sering,494,207
50,51,2020-11-01,YYC-DT,3,0.06,396.24,2020-11-01,2021-12-11,Calgary Downtown,False,11,991.93,90.18,3,True,Billing Error,3.4,Jarang,1116,405
51,52,2024-02-22,YYC-DT,14,0.28,139.38,2024-02-22,2024-12-27,Calgary Downtown,False,10,525.31,52.53,7,False,No Description,3.33,Sering,4,309
52,53,2024-07-11,YYC-SE,17,0.02,101.38,2024-07-11,2024-10-10,Calgary SE,False,6,295.44,49.24,20,False,No Description,3.97,Sering,82,91
53,54,2022-08-12,ONLINE,12,0.38,62.95,2022-08-12,2024-02-19,Online,False,24,1765.46,73.56,8,False,No Description,3.42,Sering,316,556
54,55,2024-09-10,YYC-DT,3,0.47,112.06,2024-09-10,2024-12-18,Calgary Downtown,False,0,0.0,0.0,2,False,No Description,4.53,Sangat Jarang,13,99
55,56,2022-10-05,YYC-DT,4,0.3,209.23,2022-10-05,2024-01-25,Calgary Downtown,False,7,239.62,34.23,4,True,Website Issue,3.86,Jarang,341,477
56,57,2022-04-11,YYC-NW,15,0.14,149.81,2022-04-11,2023-11-28,Calgary NW,False,29,1872.13,64.56,17,True,Rude Staff,3.81,Sering,399,596
57,58,2023-07-30,YYC-SE,2,0.07,175.86,2023-07-30,2024-11-22,Calgary SE,False,2,184.75,92.38,1,False,No Description,4.11,Sangat Jarang,39,481
58,59,2019-06-28,YYC-SE,14,0.6,83.5,2019-06-28,2021-04-11,Calgary SE,False,63,3133.54,49.74,14,True,Rude Staff,3.39,Sering,1360,653
59,60,2019-08-07,ONLINE,19,0.24,45.83,2019-08-07,2022-10-07,Online,False,89,3107.22,34.91,14,True,Billing Error,3.49,Sering,816,1157
60,61,2024-04-22,YYC-NW,10,0.08,172.96,2024-04-22,2024-10-28,Calgary NW,True,5,470.85,94.17,6,False,No Description,4.81,Jarang,64,189
61,62,2023-10-16,YYC-DT,9,0.32,150.39,2023-10-16,2024-10-03,Calgary Downtown,True,9,677.27,75.25,9,False,No Description,4.66,Sering,89,353
62,63,2021-07-21,YYC-SE,4,0.08,60.18,2021-07-21,2023-09-24,Calgary SE,False,11,690.77,62.8,3,False,No Description,4.14,Jarang,464,795
63,64,2021-05-18,YYC-DT,5,0.33,172.51,2021-05-18,2024-04-17,Calgary Downtown,False,16,822.72,51.42,4,False,No Description,4.19,Jarang,258,1065
64,65,2021-01-16,YYC-DT,11,0.23,242.03,2021-01-16,2024-06-18,Calgary Downtown,True,40,3444.12,86.1,13,True,Rude Staff,3.77,Sering,196,1249
65,66,2023-08-29,ONLINE,9,0.37,167.58,2023-08-29,2024-07-08,Online,True,11,996.29,90.57,10,False,No Description,4.6,Sering,176,314
66,67,2022-06-14,YYC-SE,17,0.24,144.78,2022-06-14,2023-02-25,Calgary SE,False,43,2366.3,55.03,20,True,Late Delivery,3.25,Sering,675,256
67,68,2022-09-19,ONLINE,10,0.25,191.33,2022-09-19,2024-08-20,Online,False,16,572.25,35.77,7,False,No Description,4.3,Sering,133,701
68,69,2024-04-11,YYC-DT,6,0.38,170.01,2024-04-11,2024-10-03,Calgary Downtown,False,4,181.14,45.28,3,True,Website Issue,3.27,Jarang,89,175
69,70,2023-02-03,YYC-NW,6,0.07,29.2,2023-02-03,2024-10-24,Calgary NW,False,12,897.93,74.83,4,False,No Description,3.59,Jarang,68,629
70,71,2020-05-06,YYC-DT,9,0.38,254.11,2020-05-06,2021-05-27,Calgary Downtown,False,43,2373.8,55.2,7,False,No Description,4.26,Sering,1314,386
71,72,2021-09-20,YYC-NW,5,0.69,102.91,2021-09-20,2024-06-15,Calgary NW,False,15,1415.9,94.39,6,False,No Description,4.14,Jarang,199,999
72,73,2021-07-27,YYC-DT,6,0.29,91.1,2021-07-27,2022-03-07,Calgary Downtown,False,20,1812.51,90.63,6,False,No Description,4.4,Jarang,1030,223
73,74,2020-09-18,ONLINE,8,0.41,44.25,2020-09-18,2021-04-08,Online,True,33,2461.18,74.58,5,False,No Description,4.29,Jarang,1363,202
74,75,2022-06-05,YYC-NW,13,0.34,62.91,2022-06-05,2024-10-06,Calgary NW,False,36,3345.7,92.94,11,False,No Description,4.03,Sering,86,854
75,76,2024-02-04,YYC-NW,13,0.24,110.03,2024-02-04,2024-12-13,Calgary NW,False,10,584.69,58.47,9,False,No Description,4.64,Sering,18,313
76,77,2020-06-24,YYC-NW,2,0.03,200.14,2020-06-24,2021-09-06,Calgary NW,False,6,191.6,31.93,2,False,No Description,4.06,Sangat Jarang,1212,439
77,78,2022-04-18,YYC-DT,13,0.29,229.7,2022-04-18,2024-02-19,Calgary Downtown,True,29,894.89,30.86,15,False,No Description,4.78,Sering,316,672
78,79,2022-02-17,YYC-DT,7,0.32,222.48,2022-02-17,2024-07-12,Calgary Downtown,True,22,1148.86,52.22,4,False,No Description,4.36,Jarang,172,876
79,80,2021-02-03,YYC-DT,8,0.18,118.7,2021-02-03,2022-04-19,Calgary Downtown,False,29,1838.99,63.41,9,False,No Description,3.95,Sering,987,440
80,81,2024-04-24,YYC-SE,14,0.43,197.5,2024-04-24,2024-11-16,Calgary SE,False,9,461.7,51.3,8,True,Billing Error,3.73,Sering,45,206
81,82,2020-04-12,YYC-DT,14,0.3,184.31,2020-04-12,2022-02-22,Calgary Downtown,False,67,4071.87,60.77,15,False,No Description,3.67,Sering,1043,681
82,83,2023-04-19,YYC-DT,6,0.34,100.87,2023-04-19,2024-06-30,Calgary Downtown,False,7,303.89,43.41,6,False,No Description,4.37,Jarang,184,438
83,84,2024-04-28,YYC-DT,16,0.05,358.97,2024-04-28,2024-08-07,Calgary Downtown,True,8,467.56,58.44,12,False,No Description,3.85,Sering,146,101
84,85,2024-10-14,YYC-NW,4,0.16,86.54,2024-10-14,2024-07-12,Calgary NW,False,1,41.54,41.54,3,False,No Description,4.05,Jarang,172,-94
85,86,2021-05-17,YYC-DT,12,0.28,32.66,2021-05-17,2024-05-15,Calgary Downtown,True,39,2275.75,58.35,12,False,No Description,4.47,Sering,230,1094
86,87,2024-07-21,ONLINE,13,0.49,476.5,2024-07-21,2024-11-25,Online,False,4,251.83,62.96,12,True,Billing Error,3.29,Sering,36,127
87,88,2023-09-01,YYC-SE,11,0.23,139.27,2023-09-01,2024-11-20,Calgary SE,False,10,387.09,38.71,13,False,No Description,3.95,Sering,41,446
88,89,2023-07-12,YYC-SE,3,0.34,72.12,2023-07-12,2024-11-28,Calgary SE,False,4,255.77,63.94,2,False,No Description,4.03,Sangat Jarang,33,505
89,90,2022-04-03,YYC-NW,2,0.5,42.47,2022-04-03,2024-08-11,Calgary NW,True,3,256.64,85.55,2,False,No Description,4.61,Sangat Jarang,142,861
90,91,2020-04-27,YYC-SE,17,0.69,70.69,2020-04-27,2023-06-07,Calgary SE,False,57,4333.17,76.02,9,False,No Description,3.59,Sering,573,1136
91,92,2019-08-21,YYC-DT,15,0.47,35.74,2019-08-21,2020-08-08,Calgary Downtown,False,80,7060.24,88.25,9,False,No Description,4.47,Sering,1606,353
92,93,2021-02-03,YYC-DT,17,0.42,124.49,2021-02-03,2023-05-18,Calgary Downtown,False,71,4199.75,59.15,20,False,No Description,4.14,Sering,593,834
93,94,2019-06-12,YYC-NW,4,0.04,324.26,2019-06-12,2022-04-15,Calgary NW,False,22,1895.94,86.18,3,False,No Description,4.03,Jarang,991,1038
94,95,2023-06-28,ONLINE,12,0.19,121.31,2023-06-28,2023-10-14,Online,False,18,779.13,43.28,14,False,No Description,3.82,Sering,444,108
95,96,2020-07-25,YYC-NW,18,0.11,113.3,2020-07-25,2023-07-18,Calgary NW,True,75,5720.86,76.28,17,False,No Description,4.83,Sering,532,1088
96,97,2022-04-09,ONLINE,17,0.42,159.25,2022-04-09,2023-05-01,Online,True,33,959.35,29.07,9,True,Website Issue,4.1,Sering,610,387
97,98,2023-09-08,YYC-DT,18,0.18,76.31,2023-09-08,2024-09-17,Calgary Downtown,True,18,1056.75,58.71,19,False,No Description,4.16,Sering,105,375
98,99,2020-02-01,YYC-DT,2,0.41,52.86,2020-02-01,2022-07-31,Calgary Downtown,False,8,492.54,61.57,2,False,No Description,3.86,Sangat Jarang,884,911
99,100,2021-03-14,YYC-DT,5,0.06,144.27,2021-03-14,2023-11-24,Calgary Downtown,False,13,1175.35,90.41,6,False,No Description,4.09,Jarang,403,985
100,101,2021-08-08,YYC-DT,14,0.42,76.39,2021-08-08,2024-01-05,Calgary Downtown,False,51,2620.76,51.39,15,False,No Description,4.22,Sering,361,880
101,102,2019-08-18,YYC-DT,12,0.12,92.6,2019-08-18,2024-05-05,Calgary Downtown,False,62,2623.64,42.32,8,True,Billing Error,2.91,Sering,240,1722
102,103,2024-04-08,YYC-DT,5,0.18,181.45,2024-04-08,2024-09-27,Calgary Downtown,True,3,235.61,78.54,3,False,No Description,4.67,Jarang,95,172
103,104,2023-09-28,YYC-NW,12,0.65,32.76,2023-09-28,2024-03-12,Calgary NW,False,13,769.63,59.2,8,False,No Description,4.08,Sering,294,166
104,105,2023-01-17,YYC-NW,12,0.04,134.88,2023-01-17,2024-02-21,Calgary NW,False,24,2166.59,90.27,13,True,Rude Staff,2.66,Sering,314,400
105,106,2019-11-07,YYC-NW,12,0.44,151.67,2019-11-07,2022-08-07,Calgary NW,False,63,3841.56,60.98,8,False,No Description,4.52,Sering,877,1004
106,107,2019-10-08,YYC-SE,5,0.2,377.57,2019-10-08,2021-05-26,Calgary SE,False,21,680.43,32.4,4,False,No Description,4.14,Jarang,1315,596
107,108,2023-09-03,ONLINE,17,0.1,180.45,2023-09-03,2024-04-14,Online,False,18,1335.42,74.19,16,False,No Description,4.59,Sering,261,224
108,109,2021-04-04,YYC-DT,13,0.24,283.33,2021-04-04,2022-04-12,Calgary Downtown,True,50,2015.14,40.3,9,False,No Description,4.75,Sering,994,373
109,110,2021-11-04,YYC-NW,6,0.51,84.06,2021-11-04,2024-03-01,Calgary NW,False,16,415.83,25.99,3,False,No Description,4.0,Jarang,305,848
110,111,2023-05-15,YYC-NW,10,0.07,64.57,2023-05-15,2024-06-15,Calgary NW,False,13,1080.99,83.15,11,False,No Description,4.6,Sering,199,397
111,112,2021-08-01,ONLINE,5,0.45,76.3,2021-08-01,2022-03-01,Online,True,13,642.89,49.45,4,False,No Description,4.5,Jarang,1036,212
112,113,2023-03-11,ONLINE,4,0.34,227.01,2023-03-11,2024-04-17,Online,False,7,579.74,82.82,2,False,No Description,4.43,Sangat Jarang,258,403
113,114,2023-01-19,YYC-SE,3,0.53,225.98,2023-01-19,2023-05-11,Calgary SE,False,6,393.8,65.63,3,False,No Description,3.87,Jarang,600,112
114,115,2019-10-17,YYC-SE,17,0.04,150.03,2019-10-17,2024-11-28,Calgary SE,False,68,1751.24,25.75,17,False,No Description,3.91,Sering,33,1869
115,116,2020-07-07,YYC-DT,6,0.1,154.03,2020-07-07,2021-12-28,Calgary Downtown,False,24,1135.83,47.33,6,True,Late Delivery,3.74,Jarang,1099,539
116,117,2023-11-30,YYC-DT,8,0.2,95.5,2023-11-30,2024-06-10,Calgary Downtown,False,8,411.75,51.47,8,False,No Description,4.04,Sering,204,193
117,118,2024-10-23,YYC-NW,4,0.54,116.05,2024-10-23,2024-06-07,Calgary NW,False,1,80.44,80.44,3,True,Damaged Book,3.35,Jarang,207,-138
118,119,2022-10-06,YYC-SE,9,0.13,130.25,2022-10-06,2024-10-05,Calgary SE,False,14,587.98,42.0,5,False,No Description,3.89,Jarang,87,730
119,120,2022-04-01,YYC-NW,11,0.67,25.35,2022-04-01,2022-10-10,Calgary NW,False,33,2717.29,82.34,13,False,No Description,4.25,Sering,813,192
120,121,2022-09-14,YYC-SE,11,0.17,134.55,2022-09-14,2023-09-06,Calgary SE,False,25,1835.77,73.43,8,False,No Description,4.5,Sering,482,357
121,122,2024-05-29,YYC-DT,11,0.08,231.33,2024-05-29,2024-10-23,Calgary Downtown,False,5,405.77,81.15,8,True,Damaged Book,2.86,Sering,69,147
122,123,2021-09-06,YYC-DT,3,0.19,108.75,2021-09-06,2023-10-16,Calgary Downtown,False,9,695.71,77.3,3,False,No Description,3.85,Jarang,442,770
123,124,2022-05-19,YYC-NW,7,0.53,241.19,2022-05-19,2022-09-09,Calgary NW,True,13,380.5,29.27,6,False,No Description,5.0,Jarang,844,113
124,125,2022-05-15,YYC-NW,19,0.44,129.88,2022-05-15,2024-05-12,Calgary NW,True,36,2511.4,69.76,15,False,No Description,4.04,Sering,233,728
125,126,2021-09-25,YYC-SE,18,0.56,109.19,2021-09-25,2022-10-26,Calgary SE,False,60,3427.67,57.13,11,False,No Description,4.09,Sering,797,396
126,127,2021-07-31,YYC-SE,16,0.6,80.61,2021-07-31,2022-03-24,Calgary SE,False,55,1590.93,28.93,16,False,No Description,4.46,Sering,1013,236
127,128,2021-08-08,ONLINE,19,0.34,56.57,2021-08-08,2022-05-11,Online,True,53,4537.37,85.61,15,False,No Description,4.39,Sering,965,276
128,129,2024-03-24,YYC-SE,18,0.63,132.42,2024-03-24,2024-09-21,Calgary SE,True,9,641.03,71.23,15,True,Damaged Book,4.33,Sering,101,181
129,130,2020-07-09,YYC-NW,19,0.02,37.62,2020-07-09,2024-09-17,Calgary NW,False,62,5417.07,87.37,17,False,No Description,4.63,Sering,105,1531
130,131,2021-07-15,YYC-NW,3,0.15,117.6,2021-07-15,2024-02-19,Calgary NW,False,10,561.3,56.13,2,False,No Description,3.87,Sangat Jarang,316,949
131,132,2019-01-27,YYC-NW,3,0.05,180.16,2019-01-27,2024-09-13,Calgary NW,False,17,1146.49,67.44,3,True,Rude Staff,3.06,Jarang,109,2056
132,133,2024-08-04,YYC-DT,19,0.42,53.02,2024-08-04,2024-11-25,Calgary Downtown,False,7,303.52,43.36,20,False,No Description,4.11,Sering,36,113
133,134,2021-01-21,YYC-NW,10,0.54,83.55,2021-01-21,2024-05-25,Calgary NW,False,32,2457.31,76.79,8,False,No Description,3.98,Sering,220,1220
134,135,2023-03-31,ONLINE,17,0.32,142.79,2023-03-31,2023-09-12,Online,True,27,2027.65,75.1,9,False,No Description,4.13,Sering,476,165
135,136,2023-08-17,YYC-DT,19,0.26,148.88,2023-08-17,2023-12-13,Calgary Downtown,False,27,2296.7,85.06,21,True,Website Issue,3.6,Sangat Sering,384,118
136,137,2021-03-18,YYC-SE,10,0.11,34.5,2021-03-18,2023-07-10,Calgary SE,False,38,3060.97,80.55,11,True,Late Delivery,2.7,Sering,540,844
137,138,2022-11-10,YYC-SE,19,0.15,221.14,2022-11-10,2023-09-08,Calgary SE,False,40,2662.32,66.56,20,True,Rude Staff,3.4,Sering,480,302
138,139,2023-02-01,YYC-DT,11,0.03,125.45,2023-02-01,2024-09-16,Calgary Downtown,False,16,421.95,26.37,11,False,No Description,3.94,Sering,106,593
139,140,2021-03-31,ONLINE,15,0.27,205.44,2021-03-31,2024-12-12,Online,False,40,1470.53,36.76,16,False,No Description,3.92,Sering,19,1352
140,141,2022-06-29,YYC-DT,19,0.22,204.14,2022-06-29,2023-06-16,Calgary Downtown,False,36,1149.19,31.92,17,True,Website Issue,2.83,Sering,564,352
141,142,2019-08-03,YYC-DT,2,0.23,160.67,2019-08-03,2022-09-27,Calgary Downtown,False,8,413.43,51.68,2,True,Late Delivery,3.41,Sangat Jarang,826,1151
142,143,2024-03-24,YYC-NW,6,0.33,51.4,2024-03-24,2024-11-22,Calgary NW,False,4,241.45,60.36,7,True,Damaged Book,3.29,Sering,39,243
143,144,2023-07-07,YYC-DT,9,0.57,137.24,2023-07-07,2024-02-07,Calgary Downtown,False,10,614.33,61.43,10,False,No Description,4.03,Sering,328,215
144,145,2021-06-14,YYC-DT,19,0.15,170.83,2021-06-14,2023-10-30,Calgary Downtown,False,66,4290.36,65.01,16,False,No Description,3.65,Sering,428,868
145,146,2023-08-30,YYC-DT,16,0.09,71.83,2023-08-30,2024-10-09,Calgary Downtown,False,23,1157.53,50.33,15,True,Billing Error,3.27,Sering,83,406
146,147,2019-12-30,YYC-SE,8,0.13,182.34,2019-12-30,2023-08-18,Calgary SE,True,35,1271.87,36.34,6,False,No Description,4.58,Jarang,501,1327
147,148,2021-11-08,YYC-SE,4,0.38,235.09,2021-11-08,2022-03-08,Calgary SE,False,9,537.43,59.71,3,False,No Description,4.02,Jarang,1029,120
148,149,2022-09-11,YYC-NW,13,0.04,95.52,2022-09-11,2023-07-01,Calgary NW,False,21,1896.35,90.3,15,False,No Description,3.76,Sering,549,293
149,150,2023-08-05,YYC-NW,8,0.09,324.84,2023-08-05,2024-03-05,Calgary NW,False,9,654.01,72.67,8,True,Damaged Book,3.44,Sering,301,213
150,151,2020-11-18,YYC-NW,16,0.33,303.03,2020-11-18,2023-01-27,Calgary NW,False,61,2040.18,33.45,12,False,No Description,3.91,Sering,704,800
151,152,2022-01-09,ONLINE,15,0.16,69.38,2022-01-09,2022-08-01,Online,False,46,2574.63,55.97,8,False,No Description,3.55,Sering,883,204
152,153,2022-02-26,YYC-NW,12,0.15,230.77,2022-02-26,2023-10-12,Calgary NW,False,36,3270.13,90.84,8,True,Billing Error,3.27,Sering,446,593
153,154,2022-03-28,YYC-DT,15,0.38,102.3,2022-03-28,2023-05-19,Calgary Downtown,False,38,2084.81,54.86,8,True,Late Delivery,3.97,Sering,592,417
154,155,2019-09-30,YYC-NW,2,0.53,198.91,2019-09-30,2024-03-30,Calgary NW,True,7,540.6,77.23,2,False,No Description,4.45,Sangat Jarang,276,1643
155,156,2023-12-11,YYC-DT,18,0.11,205.79,2023-12-11,2024-08-23,Calgary Downtown,False,17,1534.7,90.28,12,True,Rude Staff,2.83,Sering,130,256
156,157,2023-11-19,ONLINE,19,0.65,72.29,2023-11-19,2024-12-03,Online,False,22,696.71,31.67,13,False,No Description,4.18,Sering,28,380
157,158,2021-04-28,YYC-DT,18,0.49,480.23,2021-04-28,2022-01-15,Calgary Downtown,False,52,2966.7,57.05,20,False,No Description,4.23,Sering,1081,262
158,159,2023-12-22,ONLINE,17,0.15,288.1,2023-12-22,2024-05-10,Online,True,18,486.49,27.03,11,False,No Description,4.3,Sering,235,140
159,160,2022-03-04,YYC-NW,10,0.16,123.6,2022-03-04,2024-02-17,Calgary NW,False,25,944.58,37.78,6,False,No Description,3.94,Jarang,318,715
160,161,2020-08-29,YYC-SE,12,0.33,52.08,2020-08-29,2022-11-03,Calgary SE,True,43,1197.02,27.84,13,False,No Description,4.21,Sering,789,796
161,162,2019-02-17,YYC-NW,19,0.36,111.86,2019-02-17,2024-12-03,Calgary NW,False,86,4894.48,56.91,12,False,No Description,4.03,Sering,28,2116
162,163,2022-12-26,YYC-DT,14,0.82,298.22,2022-12-26,2024-04-18,Calgary Downtown,False,25,971.43,38.86,12,True,Late Delivery,3.1,Sering,257,479
163,164,2021-08-10,YYC-DT,4,0.08,170.3,2021-08-10,2022-10-10,Calgary Downtown,True,12,615.97,51.33,2,False,No Description,4.51,Sangat Jarang,813,426
