date,store_id,channel,transactions,revenue,gst_collected,net_revenue,year,month
2019-02-05,YYC-SE,IN_STORE,31,1297,64.89,1232,2019,2
2019-02-05,YYC-SE,ONLINE,4,105,5.3,100,2019,2
2019-02-06,YYC-DT,IN_STORE,78,2298,114.94,2183,2019,2
2019-02-06,YYC-DT,ONLINE,8,245,12.27,233,2019,2
2019-02-06,YYC-NW,IN_STORE,47,1570,78.52,1491,2019,2
2019-02-06,YYC-NW,ONLINE,4,185,9.28,176,2019,2
2019-02-06,YYC-SE,IN_STORE,41,1307,65.36,1241,2019,2
2019-02-06,YYC-SE,ONLINE,4,96,4.84,91,2019,2
2019-02-07,YYC-DT,IN_STORE,65,2038,101.9,1936,2019,2
2019-02-07,YYC-DT,ONLINE,6,243,12.18,231,2019,2
2019-02-07,YYC-NW,IN_STORE,51,1402,70.14,1332,2019,2
2019-02-07,YYC-NW,ONLINE,4,125,6.3,119,2019,2
2019-02-07,YYC-SE,IN_STORE,36,1193,59.67,1133,2019,2
2019-02-07,YYC-SE,ONLINE,3,98,4.94,93,2019,2
2019-02-08,YYC-DT,IN_STORE,82,2174,108.72,2065,2019,2
2019-02-08,YYC-DT,ONLINE,8,217,10.86,206,2019,2
2019-02-08,YYC-NW,IN_STORE,37,1404,70.25,1334,2019,2
2019-02-08,YYC-NW,ONLINE,4,133,6.66,126,2019,2
2019-02-08,YYC-SE,IN_STORE,36,1256,62.81,1193,2019,2
2019-02-08,YYC-SE,ONLINE,3,89,4.49,85,2019,2
2019-02-09,YYC-DT,IN_STORE,62,2526,126.33,2400,2019,2
2019-02-09,YYC-DT,ONLINE,9,304,15.23,289,2019,2
2019-02-09,YYC-NW,IN_STORE,43,1602,80.14,1522,2019,2
2019-02-09,YYC-NW,ONLINE,7,170,8.53,162,2019,2
2019-02-09,YYC-SE,IN_STORE,37,1466,73.3,1392,2019,2
2019-02-09,YYC-SE,ONLINE,4,159,7.99,151,2019,2
2019-02-10,YYC-DT,IN_STORE,101,2460,123.02,2337,2019,2
2019-02-10,YYC-DT,ONLINE,7,259,12.98,246,2019,2
2019-02-10,YYC-NW,IN_STORE,58,1844,92.2,1751,2019,2
2019-02-10,YYC-NW,ONLINE,8,213,10.66,202,2019,2
2019-02-10,YYC-SE,IN_STORE,46,1540,77.03,1463,2019,2
2019-02-10,YYC-SE,ONLINE,4,157,7.85,149,2019,2
2019-02-11,YYC-DT,IN_STORE,58,2121,106.07,2015,2019,2
2019-02-11,YYC-DT,ONLINE,6,228,11.42,216,2019,2
2019-02-11,YYC-NW,IN_STORE,54,1568,78.44,1490,2019,2
2019-02-11,YYC-NW,ONLINE,4,179,8.95,170,2019,2
2019-02-11,YYC-SE,IN_STORE,50,1366,68.32,1298,2019,2
2019-02-11,YYC-SE,ONLINE,4,135,6.78,128,2019,2
2019-02-12,YYC-DT,IN_STORE,79,2150,107.52,2042,2019,2
2019-02-12,YYC-DT,ONLINE,9,204,10.2,193,2019,2
2019-02-12,YYC-NW,IN_STORE,41,1534,76.72,1457,2019,2
2019-02-12,YYC-NW,ONLINE,5,198,9.93,188,2019,2
2019-02-12,YYC-SE,IN_STORE,38,1364,68.21,1295,2019,2
2019-02-12,YYC-SE,ONLINE,4,129,6.5,123,2019,2
2019-02-13,YYC-DT,IN_STORE,67,2155,107.78,2047,2019,2
2019-02-13,YYC-DT,ONLINE,8,237,11.85,225,2019,2
2019-02-13,YYC-NW,IN_STORE,51,1562,78.1,1483,2019,2
2019-02-13,YYC-NW,ONLINE,4,159,8.0,151,2019,2
2019-02-13,YYC-SE,IN_STORE,43,1289,64.5,1225,2019,2
2019-02-13,YYC-SE,ONLINE,4,118,5.93,112,2019,2
2019-02-14,YYC-DT,IN_STORE,66,1982,99.13,1883,2019,2
2019-02-14,YYC-DT,ONLINE,6,231,11.59,220,2019,2
2019-02-14,YYC-NW,IN_STORE,39,1390,69.55,1321,2019,2
2019-02-14,YYC-NW,ONLINE,6,135,6.78,128,2019,2
2019-02-14,YYC-SE,IN_STORE,46,1291,64.59,1227,2019,2
2019-02-14,YYC-SE,ONLINE,3,108,5.43,103,2019,2
2019-02-15,YYC-DT,IN_STORE,53,2083,104.17,1979,2019,2
2019-02-15,YYC-DT,ONLINE,6,224,11.22,213,2019,2
2019-02-15,YYC-NW,IN_STORE,39,1550,77.55,1473,2019,2
2019-02-15,YYC-NW,ONLINE,5,165,8.27,157,2019,2
2019-02-15,YYC-SE,IN_STORE,35,1293,64.67,1228,2019,2
2019-02-15,YYC-SE,ONLINE,4,118,5.92,112,2019,2
2019-02-16,YYC-DT,IN_STORE,63,2264,113.23,2151,2019,2
2019-02-16,YYC-DT,ONLINE,9,235,11.79,224,2019,2
2019-02-16,YYC-NW,IN_STORE,60,1721,86.1,1635,2019,2
2019-02-16,YYC-NW,ONLINE,6,190,9.51,180,2019,2
2019-02-16,YYC-SE,IN_STORE,43,1387,69.37,1317,2019,2
2019-02-16,YYC-SE,ONLINE,6,164,8.21,155,2019,2
2019-02-17,YYC-DT,IN_STORE,68,2574,128.74,2446,2019,2
2019-02-17,YYC-DT,ONLINE,9,273,13.69,260,2019,2
2019-02-17,YYC-NW,IN_STORE,71,1829,91.45,1737,2019,2
2019-02-17,YYC-NW,ONLINE,5,191,9.59,182,2019,2
2019-02-17,YYC-SE,IN_STORE,39,1500,75.01,1425,2019,2
2019-02-17,YYC-SE,ONLINE,4,123,6.19,117,2019,2
2019-02-18,YYC-DT,IN_STORE,66,2152,107.63,2044,2019,2
2019-02-18,YYC-DT,ONLINE,6,253,12.68,240,2019,2
2019-02-18,YYC-NW,IN_STORE,49,1497,74.89,1422,2019,2
2019-02-18,YYC-NW,ONLINE,5,171,8.58,162,2019,2
2019-02-18,YYC-SE,IN_STORE,44,1375,68.77,1306,2019,2
2019-02-18,YYC-SE,ONLINE,4,173,8.66,164,2019,2
2019-02-19,YYC-DT,IN_STORE,61,1939,96.98,1842,2019,2
2019-02-19,YYC-DT,ONLINE,8,167,8.38,159,2019,2
2019-02-19,YYC-NW,IN_STORE,57,1513,75.66,1437,2019,2
2019-02-19,YYC-NW,ONLINE,4,148,7.4,140,2019,2
2019-02-19,YYC-SE,IN_STORE,39,1181,59.06,1122,2019,2
2019-02-19,YYC-SE,ONLINE,4,92,4.64,88,2019,2
2019-02-20,YYC-DT,IN_STORE,55,2201,110.08,2091,2019,2
2019-02-20,YYC-DT,ONLINE,9,198,9.92,188,2019,2
2019-02-20,YYC-NW,IN_STORE,59,1565,78.29,1487,2019,2
2019-02-20,YYC-NW,ONLINE,4,185,9.26,175,2019,2
2019-02-20,YYC-SE,IN_STORE,33,1384,69.23,1315,2019,2
2019-02-20,YYC-SE,ONLINE,5,139,6.99,132,2019,2
2019-02-21,YYC-DT,IN_STORE,51,2105,105.3,2000,2019,2
2019-02-21,YYC-DT,ONLINE,7,229,11.46,217,2019,2
2019-02-21,YYC-NW,IN_STORE,46,1543,77.17,1466,2019,2
2019-02-21,YYC-NW,ONLINE,6,154,7.7,146,2019,2
2019-02-21,YYC-SE,IN_STORE,43,1266,63.3,1202,2019,2
2019-02-21,YYC-SE,ONLINE,3,114,5.7,108,2019,2
2019-02-22,YYC-DT,IN_STORE,52,2258,112.91,2145,2019,2
2019-02-22,YYC-DT,ONLINE,5,217,10.9,207,2019,2
2019-02-22,YYC-NW,IN_STORE,47,1522,76.14,1446,2019,2
2019-02-22,YYC-NW,ONLINE,4,103,5.17,98,2019,2
2019-02-22,YYC-SE,IN_STORE,49,1286,64.33,1222,2019,2
2019-02-22,YYC-SE,ONLINE,3,111,5.57,105,2019,2
2019-02-23,YYC-DT,IN_STORE,65,2536,126.83,2409,2019,2
2019-02-23,YYC-DT,ONLINE,11,273,13.69,260,2019,2
2019-02-23,YYC-NW,IN_STORE,44,1657,82.86,1574,2019,2
2019-02-23,YYC-NW,ONLINE,6,214,10.71,203,2019,2
2019-02-23,YYC-SE,IN_STORE,47,1578,78.95,1500,2019,2
2019-02-23,YYC-SE,ONLINE,4,122,6.13,116,2019,2
2019-02-24,YYC-DT,IN_STORE,71,2610,130.52,2479,2019,2
2019-02-24,YYC-DT,ONLINE,10,248,12.42,235,2019,2
2019-02-24,YYC-NW,IN_STORE,54,1801,90.09,1711,2019,2
2019-02-24,YYC-NW,ONLINE,7,157,7.88,149,2019,2
2019-02-24,YYC-SE,IN_STORE,51,1523,76.15,1446,2019,2
2019-02-24,YYC-SE,ONLINE,4,137,6.87,130,2019,2
2019-02-25,YYC-DT,IN_STORE,73,2307,115.37,2192,2019,2
2019-02-25,YYC-DT,ONLINE,9,228,11.41,216,2019,2
2019-02-25,YYC-NW,IN_STORE,43,1738,86.93,1651,2019,2
2019-02-25,YYC-NW,ONLINE,7,172,8.62,163,2019,2
2019-02-25,YYC-SE,IN_STORE,35,1287,64.4,1223,2019,2
2019-02-25,YYC-SE,ONLINE,4,114,5.74,109,2019,2
2019-02-26,YYC-DT,IN_STORE,77,2053,102.68,1950,2019,2
2019-02-26,YYC-DT,ONLINE,6,266,13.34,253,2019,2
2019-02-26,YYC-NW,IN_STORE,38,1499,74.96,1424,2019,2
2019-02-26,YYC-NW,ONLINE,4,140,7.03,133,2019,2
2019-02-26,YYC-SE,IN_STORE,38,1344,67.21,1276,2019,2
2019-02-26,YYC-SE,ONLINE,4,140,7.04,133,2019,2
2019-02-27,YYC-DT,IN_STORE,77,2145,107.29,2038,2019,2
2019-02-27,YYC-DT,ONLINE,8,234,11.75,223,2019,2
2019-02-27,YYC-NW,IN_STORE,50,1548,77.45,1471,2019,2
2019-02-27,YYC-NW,ONLINE,6,195,9.77,185,2019,2
2019-02-27,YYC-SE,IN_STORE,32,1328,66.43,1262,2019,2
2019-02-27,YYC-SE,ONLINE,4,129,6.48,123,2019,2
2019-02-28,YYC-DT,IN_STORE,69,2205,110.29,2095,2019,2
2019-02-28,YYC-DT,ONLINE,9,215,10.76,204,2019,2
2019-02-28,YYC-NW,IN_STORE,45,1544,77.22,1467,2019,2
2019-02-28,YYC-NW,ONLINE,5,181,9.09,172,2019,2
2019-02-28,YYC-SE,IN_STORE,42,1309,65.45,1243,2019,2
2019-02-28,YYC-SE,ONLINE,5,143,7.16,136,2019,2
2019-03-01,YYC-DT,IN_STORE,62,2398,119.92,2278,2019,3
2019-03-01,YYC-DT,ONLINE,10,279,13.98,265,2019,3
2019-03-01,YYC-NW,IN_STORE,49,1717,85.86,1631,2019,3
2019-03-01,YYC-NW,ONLINE,7,175,8.78,166,2019,3
2019-03-01,YYC-SE,IN_STORE,49,1621,81.07,1540,2019,3
2019-03-01,YYC-SE,ONLINE,5,164,8.22,156,2019,3
2019-03-02,YYC-DT,IN_STORE,98,2520,126.02,2394,2019,3
2019-03-02,YYC-DT,ONLINE,6,258,12.91,245,2019,3
2019-03-02,YYC-NW,IN_STORE,53,1797,89.9,1708,2019,3
2019-03-02,YYC-NW,ONLINE,5,152,7.65,145,2019,3
2019-03-02,YYC-SE,IN_STORE,62,1521,76.07,1445,2019,3
2019-03-02,YYC-SE,ONLINE,5,154,7.75,147,2019,3
2019-03-03,YYC-DT,IN_STORE,86,2618,130.93,2487,2019,3
2019-03-03,YYC-DT,ONLINE,7,309,15.48,294,2019,3
2019-03-03,YYC-NW,IN_STORE,65,1782,89.11,1693,2019,3
2019-03-03,YYC-NW,ONLINE,5,195,9.77,185,2019,3
2019-03-03,YYC-SE,IN_STORE,42,1699,84.96,1614,2019,3
2019-03-03,YYC-SE,ONLINE,4,166,8.3,157,2019,3
2019-03-04,YYC-DT,IN_STORE,74,2322,116.14,2206,2019,3
2019-03-04,YYC-DT,ONLINE,9,236,11.8,224,2019,3
2019-03-04,YYC-NW,IN_STORE,49,1726,86.34,1640,2019,3
2019-03-04,YYC-NW,ONLINE,4,150,7.52,142,2019,3
2019-03-04,YYC-SE,IN_STORE,43,1328,66.44,1262,2019,3
2019-03-04,YYC-SE,ONLINE,3,131,6.57,124,2019,3
2019-03-05,YYC-DT,IN_STORE,91,2241,112.1,2129,2019,3
2019-03-05,YYC-DT,ONLINE,6,263,13.18,250,2019,3
2019-03-05,YYC-NW,IN_STORE,43,1708,85.45,1623,2019,3
